,chromosome,start,end,read_count,bases_covered,bin_size,coverage_fraction,total_genes,total_genes_length
257778,NC_000007.14,55310000,55315000,10,5000,5000,1.0,0,0
257779,NC_000007.14,55315000,55320000,10,5000,5000,1.0,0,0
257780,NC_000007.14,55320000,55325000,7,5000,5000,1.0,0,0
257781,NC_000007.14,55325000,55330000,11,5000,5000,1.0,0,0
257782,NC_000007.14,55330000,55335000,8,5000,5000,1.0,0,0
257783,NC_000007.14,55335000,55340000,13,5000,5000,1.0,0,0
257784,NC_000007.14,55340000,55345000,13,5000,5000,1.0,0,0
257785,NC_000007.14,55345000,55350000,17,5000,5000,1.0,0,0
257786,NC_000007.14,55350000,55355000,10,5000,5000,1.0,0,0
257787,NC_000007.14,55355000,55360000,13,5000,5000,1.0,0,0
257788,NC_000007.14,55360000,55365000,13,5000,5000,1.0,0,0
257789,NC_000007.14,55365000,55370000,1900,5000,5000,1.0,1,68400
257790,NC_000007.14,55370000,55375000,295,5000,5000,1.0,0,0
257791,NC_000007.14,55375000,55380000,277,5000,5000,1.0,0,0
257792,NC_000007.14,55380000,55385000,264,5000,5000,1.0,0,0
257793,NC_000007.14,55385000,55390000,301,5000,5000,1.0,0,0
257794,NC_000007.14,55390000,55395000,1478,5000,5000,1.0,0,0
257795,NC_000007.14,55395000,55400000,6422,5000,5000,1.0,0,0
257796,NC_000007.14,55400000,55405000,8280,5000,5000,1.0,0,0
257797,NC_000007.14,55405000,55410000,1918,5000,5000,1.0,0,0
257798,NC_000007.14,55410000,55415000,6618,5000,5000,1.0,0,0
257799,NC_000007.14,55415000,55420000,1905,5000,5000,1.0,0,0
257800,NC_000007.14,55420000,55425000,1955,5000,5000,1.0,0,0
257801,NC_000007.14,55425000,55430000,6972,5000,5000,1.0,0,0
257802,NC_000007.14,55430000,55435000,25083,5000,5000,1.0,2,205938
257803,NC_000007.14,55435000,55440000,1865,5000,5000,1.0,0,0
257804,NC_000007.14,55440000,55445000,1079,5000,5000,1.0,0,0
257805,NC_000007.14,55445000,55450000,1051,5000,5000,1.0,0,0
257806,NC_000007.14,55450000,55455000,8947,5000,5000,1.0,0,0
257807,NC_000007.14,55455000,55460000,38149,5000,5000,1.0,0,0
257808,NC_000007.14,55460000,55465000,34629,5000,5000,1.0,0,0
257809,NC_000007.14,55465000,55470000,30709,5000,5000,1.0,0,0
257810,NC_000007.14,55470000,55475000,325761,5000,5000,1.0,0,0
257811,NC_000007.14,55475000,55480000,9313,5000,5000,1.0,0,0
257812,NC_000007.14,55480000,55485000,8882,5000,5000,1.0,0,0
257813,NC_000007.14,55485000,55490000,8824,5000,5000,1.0,0,0
257814,NC_000007.14,55490000,55495000,16385,5000,5000,1.0,0,0
257815,NC_000007.14,55495000,55500000,3094,5000,5000,1.0,0,0
257816,NC_000007.14,55500000,55505000,223,5000,5000,1.0,0,0
257817,NC_000007.14,55505000,55510000,172,5000,5000,1.0,0,0
257818,NC_000007.14,55510000,55515000,193,5000,5000,1.0,0,0
257819,NC_000007.14,55515000,55520000,179,5000,5000,1.0,0,0
257820,NC_000007.14,55520000,55525000,483,5000,5000,1.0,0,0
257821,NC_000007.14,55525000,55530000,300,5000,5000,1.0,0,0
257822,NC_000007.14,55530000,55535000,329,5000,5000,1.0,0,0
257823,NC_000007.14,55535000,55540000,344,5000,5000,1.0,0,0
257824,NC_000007.14,55540000,55545000,407,5000,5000,1.0,0,0
257825,NC_000007.14,55545000,55550000,413,5000,5000,1.0,0,0
257826,NC_000007.14,55550000,55555000,421,5000,5000,1.0,0,0
257827,NC_000007.14,55555000,55560000,264,5000,5000,1.0,0,0
257828,NC_000007.14,55560000,55565000,260,5000,5000,1.0,0,0
257829,NC_000007.14,55565000,55570000,204,5000,5000,1.0,0,0
257830,NC_000007.14,55570000,55575000,155,4715,5000,0.943,2,161432
257831,NC_000007.14,55575000,55580000,27,5000,5000,1.0,0,0
257832,NC_000007.14,55580000,55585000,19,5000,5000,1.0,0,0
257833,NC_000007.14,55585000,55590000,81,4721,5000,0.9442,0,0
257834,NC_000007.14,55590000,55595000,81,2518,5000,0.5036,0,0
257835,NC_000007.14,55595000,55600000,83,2006,5000,0.4012,1,23894
257836,NC_000007.14,55600000,55605000,46,1616,5000,0.3232,0,0
257837,NC_000007.14,55605000,55610000,120,2503,5000,0.5006,0,0
257838,NC_000007.14,55610000,55615000,45,5000,5000,1.0,0,0
257839,NC_000007.14,55615000,55620000,80,5000,5000,1.0,0,0
257840,NC_000007.14,55620000,55625000,175,5000,5000,1.0,0,0
257841,NC_000007.14,55625000,55630000,618,5000,5000,1.0,0,0
257842,NC_000007.14,55630000,55635000,593,5000,5000,1.0,0,0
257843,NC_000007.14,55635000,55640000,708,5000,5000,1.0,0,0
257844,NC_000007.14,55640000,55645000,428,5000,5000,1.0,0,0
257845,NC_000007.14,55645000,55650000,354,5000,5000,1.0,0,0
257846,NC_000007.14,55650000,55655000,27,5000,5000,1.0,0,0
257847,NC_000007.14,55655000,55660000,221,5000,5000,1.0,0,0
257848,NC_000007.14,55660000,55665000,61,5000,5000,1.0,0,0
257849,NC_000007.14,55665000,55670000,35,5000,5000,1.0,0,0
257850,NC_000007.14,55670000,55675000,63,5000,5000,1.0,0,0
257851,NC_000007.14,55675000,55680000,721,5000,5000,1.0,0,0
257852,NC_000007.14,55680000,55685000,34985,5000,5000,1.0,0,0
257853,NC_000007.14,55685000,55690000,19875,5000,5000,1.0,0,0
257854,NC_000007.14,55690000,55695000,1512,5000,5000,1.0,0,0
257855,NC_000007.14,55695000,55700000,844,5000,5000,1.0,0,0
257856,NC_000007.14,55700000,55705000,54,5000,5000,1.0,0,0
257857,NC_000007.14,55705000,55710000,1079,5000,5000,1.0,0,0
257858,NC_000007.14,55710000,55715000,1603,5000,5000,1.0,0,0
257859,NC_000007.14,55715000,55720000,9,5000,5000,1.0,0,0
257860,NC_000007.14,55720000,55725000,10,1286,5000,0.2572,0,0
257861,NC_000007.14,55725000,55730000,7,321,5000,0.0642,0,0
257862,NC_000007.14,55730000,55735000,1701,2973,5000,0.5946,0,0
257863,NC_000007.14,55735000,55740000,121,2788,5000,0.5576,0,0
257864,NC_000007.14,55740000,55745000,57,1425,5000,0.285,0,0
257865,NC_000007.14,55745000,55750000,297,4732,5000,0.9464,1,4262
257866,NC_000007.14,55750000,55755000,35,1075,5000,0.215,2,12375
257867,NC_000007.14,55755000,55760000,44,2100,5000,0.42,1,8113
257868,NC_000007.14,55760000,55765000,925,1461,5000,0.2922,0,0
257869,NC_000007.14,55765000,55770000,103,5000,5000,1.0,0,0
257870,NC_000007.14,55770000,55775000,3496,4211,5000,0.8422,0,0
257871,NC_000007.14,55775000,55780000,38,1089,5000,0.2178,0,0
257872,NC_000007.14,55780000,55785000,7,323,5000,0.0646,0,0
257873,NC_000007.14,55785000,55790000,6,298,5000,0.0596,0,0
257874,NC_000007.14,55790000,55795000,105,1487,5000,0.2974,1,69212
257875,NC_000007.14,55795000,55800000,113,4941,5000,0.9882,0,0
257876,NC_000007.14,55800000,55805000,13,5000,5000,1.0,0,0
257877,NC_000007.14,55805000,55810000,56,4996,5000,0.9992,0,0
257878,NC_000007.14,55810000,55815000,3,5000,5000,1.0,0,0
257879,NC_000007.14,55815000,55820000,12,5000,5000,1.0,0,0
257880,NC_000007.14,55820000,55825000,5,5000,5000,1.0,0,0
257881,NC_000007.14,55825000,55830000,7,5000,5000,1.0,0,0
257882,NC_000007.14,55830000,55835000,28,5000,5000,1.0,0,0
257883,NC_000007.14,55835000,55840000,15,5000,5000,1.0,0,0
257884,NC_000007.14,55840000,55845000,40,4960,5000,0.992,0,0
257885,NC_000007.14,55845000,55850000,8,1823,5000,0.3646,0,0
257886,NC_000007.14,55850000,55855000,7,347,5000,0.0694,0,0
257887,NC_000007.14,55855000,55860000,8,337,5000,0.0674,0,0
257888,NC_000007.14,55860000,55865000,8,223,5000,0.0446,1,69212
257889,NC_000007.14,55865000,55870000,11,453,5000,0.0906,0,0
257890,NC_000007.14,55870000,55875000,11,501,5000,0.1002,0,0
257891,NC_000007.14,55875000,55880000,227,856,5000,0.1712,0,0
257892,NC_000007.14,55880000,55885000,20,3169,5000,0.6338,0,0
257893,NC_000007.14,55885000,55890000,198,5000,5000,1.0,1,54769
257894,NC_000007.14,55890000,55895000,201,5000,5000,1.0,0,0
257895,NC_000007.14,55895000,55900000,180,5000,5000,1.0,0,0
257896,NC_000007.14,55900000,55905000,87,5000,5000,1.0,0,0
257897,NC_000007.14,55905000,55910000,431,5000,5000,1.0,0,0
257898,NC_000007.14,55910000,55915000,3347,5000,5000,1.0,0,0
257899,NC_000007.14,55915000,55920000,770,5000,5000,1.0,0,0
257900,NC_000007.14,55920000,55925000,2917,5000,5000,1.0,0,0
257901,NC_000007.14,55925000,55930000,1935,5000,5000,1.0,0,0
257902,NC_000007.14,55930000,55935000,948,5000,5000,1.0,0,0
257903,NC_000007.14,55935000,55940000,7680,5000,5000,1.0,0,0
257904,NC_000007.14,55940000,55945000,11790,5000,5000,1.0,1,54769
257905,NC_000007.14,55945000,55950000,3056,5000,5000,1.0,0,0
257906,NC_000007.14,55950000,55955000,10969,5000,5000,1.0,1,4623
257907,NC_000007.14,55955000,55960000,31619,5000,5000,1.0,1,4623
257908,NC_000007.14,55960000,55965000,286,5000,5000,1.0,1,35594
257909,NC_000007.14,55965000,55970000,1078,5000,5000,1.0,0,0
257910,NC_000007.14,55970000,55975000,619,5000,5000,1.0,0,0
257911,NC_000007.14,55975000,55980000,14188,5000,5000,1.0,0,0
257912,NC_000007.14,55980000,55985000,47490,5000,5000,1.0,0,0
257913,NC_000007.14,55985000,55990000,7896,5000,5000,1.0,0,0
257914,NC_000007.14,55990000,55995000,20676,5000,5000,1.0,0,0
257915,NC_000007.14,55995000,56000000,105883,5000,5000,1.0,0,0
257916,NC_000007.14,56000000,56005000,6905,5000,5000,1.0,1,35594
257917,NC_000007.14,56005000,56010000,847,5000,5000,1.0,0,0
257918,NC_000007.14,56010000,56015000,14606,5000,5000,1.0,1,40380
257919,NC_000007.14,56015000,56020000,14602,5000,5000,1.0,0,0
257920,NC_000007.14,56020000,56025000,6478,5000,5000,1.0,0,0
257921,NC_000007.14,56025000,56030000,1310,5000,5000,1.0,0,0
257922,NC_000007.14,56030000,56035000,3119,5000,5000,1.0,0,0
257923,NC_000007.14,56035000,56040000,73,5000,5000,1.0,0,0
257924,NC_000007.14,56040000,56045000,121,5000,5000,1.0,0,0
257925,NC_000007.14,56045000,56050000,66,5000,5000,1.0,0,0
