node_id,degree,clustering,betweenness,pagerank,eigenvector,pagerank_rank,DB_labels,chromosome,start,end,read_count,bases_covered,bin_size,coverage_fraction,total_genes,total_genes_length
13,48.0,0.28634751773049644,0.0017425224367689674,0.0031936730739715573,0.04658154984684145,210,1,NC_000007.14,54830000,54835000,0,0,5000,0.0,0,0
14,45.0,0.301010101010101,0.001477044342371686,0.0030299853153068473,0.04298822898986749,222,2,NC_000007.14,54835000,54840000,6,252,5000,0.0504,0,0
15,70.0,0.2902691511387164,0.003879646763536195,0.0043868485209757856,0.06721333214604408,65,2,NC_000007.14,54840000,54845000,3,151,5000,0.0302,0,0
16,48.0,0.2845744680851064,0.0016644578473176217,0.003189190274121792,0.04676436947866386,211,2,NC_000007.14,54845000,54850000,3,151,5000,0.0302,0,0
17,48.0,0.3049645390070922,0.0015321183497549098,0.0031725311093318696,0.04796536036828381,214,1,NC_000007.14,54850000,54855000,7,312,5000,0.0624,0,0
18,55.0,0.26801346801346804,0.002435039314892775,0.0035806181809743954,0.052465970792918884,172,2,NC_000007.14,54855000,54860000,30,732,5000,0.1464,0,0
19,55.0,0.2841750841750842,0.0021220817871841825,0.0035576385969977504,0.054726106541206306,177,2,NC_000007.14,54860000,54865000,100,2823,5000,0.5646,0,0
20,64.0,0.30456349206349204,0.0027043540351876097,0.004022224926801044,0.06578714442422845,104,1,NC_000007.14,54865000,54870000,202,4762,5000,0.9524,0,0
21,94.0,0.26973232669869596,0.006793485849245699,0.005667907247727972,0.0924383399832594,11,2,NC_000007.14,54870000,54875000,157,5000,5000,1.0,0,0
22,86.0,0.24979480164158688,0.0062773101310903325,0.005266700769777564,0.07976843583148883,23,2,NC_000007.14,54875000,54880000,325,5000,5000,1.0,0,0
23,75.0,0.2508108108108108,0.004737598140166614,0.00466613695903835,0.07049732006690027,45,2,NC_000007.14,54880000,54885000,843,5000,5000,1.0,0,0
24,70.0,0.27991718426501033,0.0037501680347838532,0.00437687780978376,0.0674796926366994,68,1,NC_000007.14,54885000,54890000,843,4842,5000,0.9684,0,0
25,84.0,0.2728055077452668,0.005541056086805083,0.005138890615106138,0.08107462730939416,28,2,NC_000007.14,54890000,54895000,71,1624,5000,0.3248,0,0
26,59.0,0.26417299824663937,0.0025540571260144803,0.0037830165291190595,0.05783385361960591,145,2,NC_000007.14,54895000,54900000,17,636,5000,0.1272,0,0
27,80.0,0.28544303797468357,0.00492981891893929,0.004922878545910734,0.07820463996818132,39,2,NC_000007.14,54900000,54905000,37,1111,5000,0.2222,0,0
28,72.0,0.27816901408450706,0.003688227771761986,0.004473063526417638,0.07098267422181907,59,2,NC_000007.14,54905000,54910000,95,2709,5000,0.5418,0,0
29,68.0,0.2726075504828797,0.003618372564740337,0.004278556097005299,0.06550149470327683,82,1,NC_000007.14,54910000,54915000,56,4833,5000,0.9666,0,0
30,61.0,0.30491803278688523,0.002605536317116548,0.0038854724589472995,0.06053460007812369,121,1,NC_000007.14,54915000,54920000,75,1693,5000,0.3386,0,0
31,55.0,0.301010101010101,0.0020889931366049283,0.003560606577852862,0.05451117269732588,176,1,NC_000007.14,54920000,54925000,19,796,5000,0.1592,0,0
32,39.0,0.31983805668016196,0.0008638424095068871,0.0026781764410006123,0.04064564501074462,240,1,NC_000007.14,54925000,54930000,8,300,5000,0.06,0,0
33,56.0,0.31363636363636366,0.001888805332627924,0.0035929314305271757,0.057551219051897584,171,2,NC_000007.14,54930000,54935000,79,724,5000,0.1448,0,0
34,50.0,0.31137254901960787,0.0016463882565292416,0.003327324915092089,0.052376948212377726,196,2,NC_000007.14,54935000,54940000,389,1674,5000,0.3348,0,0
35,66.0,0.3095571095571096,0.0026676612115704027,0.004122777593489041,0.06871394375044708,94,2,NC_000007.14,54940000,54945000,1,47,5000,0.0094,0,0
36,69.0,0.3052003410059676,0.003347080532573604,0.004311713368657488,0.0694072481814278,77,2,NC_000007.14,54945000,54950000,22,814,5000,0.1628,0,0
37,60.0,0.3101694915254237,0.0022611114114764247,0.0038138996734861943,0.06082291796319555,137,2,NC_000007.14,54950000,54955000,12,435,5000,0.087,0,0
38,57.0,0.3101503759398496,0.0019375147068428455,0.0036940653770323817,0.060791646442874,158,1,NC_000007.14,54955000,54960000,11,406,5000,0.0812,0,0
39,69.0,0.27450980392156865,0.0034219234275167515,0.004309834974084757,0.0690557987478154,78,1,NC_000007.14,54960000,54965000,14,655,5000,0.131,0,0
40,85.0,0.2854341736694678,0.005131714861242658,0.005164505447181706,0.0858002142906516,27,2,NC_000007.14,54965000,54970000,24,989,5000,0.1978,0,0
41,70.0,0.28405797101449276,0.0032672085617390977,0.004347704143345274,0.07195568944374262,72,2,NC_000007.14,54970000,54975000,11,347,5000,0.0694,0,0
42,76.0,0.2880701754385965,0.004050020592451578,0.004685757268509947,0.07584844217257548,44,2,NC_000007.14,54975000,54980000,10,465,5000,0.093,0,0
43,61.0,0.28688524590163933,0.002759322292167977,0.0038871088556705906,0.06073934759412326,120,2,NC_000007.14,54980000,54985000,24,1122,5000,0.2244,0,0
44,73.0,0.2675038051750381,0.004068446401146855,0.004537316838649637,0.07236483036050455,50,2,NC_000007.14,54985000,54990000,26,3432,5000,0.6864,0,0
45,58.0,0.2982456140350877,0.0022461596891036194,0.0037075050674816854,0.05919730872345896,157,2,NC_000007.14,54990000,54995000,88,3240,5000,0.648,1,26503
46,60.0,0.28926553672316385,0.002716967864000042,0.0038379719059615236,0.05973108077323453,130,2,NC_000007.14,54995000,55000000,59,5000,5000,1.0,0,0
47,59.0,0.31443600233781416,0.0022761414500832226,0.0037624178648078747,0.06039410940194783,148,1,NC_000007.14,55000000,55005000,66,5000,5000,1.0,0,0
48,54.0,0.296995108315863,0.00206436458771344,0.003509554467381354,0.053948501606298487,182,1,NC_000007.14,55005000,55010000,82,5000,5000,1.0,0,0
49,48.0,0.26595744680851063,0.0015834682082568176,0.0031776851651070114,0.047047966589201545,213,2,NC_000007.14,55010000,55015000,279,5000,5000,1.0,0,0
50,55.0,0.32592592592592595,0.002054526743286654,0.0035608975282756363,0.05422374006145378,175,2,NC_000007.14,55015000,55020000,2679,5000,5000,1.0,2,219114
51,42.0,0.34146341463414637,0.0011216583681459356,0.002868778943864111,0.03992647998742093,235,2,NC_000007.14,55020000,55025000,2026,5000,5000,1.0,0,0
52,44.0,0.32558139534883723,0.001146074464339669,0.0029587493807921882,0.04397515320913406,230,2,NC_000007.14,55025000,55030000,1243,5000,5000,1.0,0,0
53,53.0,0.32728592162554426,0.0016832183840195635,0.003440226037962025,0.05349342153943141,189,2,NC_000007.14,55030000,55035000,1335,5000,5000,1.0,0,0
54,47.0,0.33117483811285847,0.00129847898587046,0.0031186215188009113,0.04777552113241586,215,2,NC_000007.14,55035000,55040000,1343,5000,5000,1.0,0,0
55,45.0,0.3191919191919192,0.0013669229273115852,0.0030340338051929065,0.04281381984914574,220,2,NC_000007.14,55040000,55045000,1448,5000,5000,1.0,0,0
56,63.0,0.3118279569892473,0.0026826962193784304,0.003992249413026383,0.061585651506062156,108,2,NC_000007.14,55045000,55050000,1347,5000,5000,1.0,0,0
57,50.0,0.34530612244897957,0.0014933496751642597,0.003294222031136603,0.04884942180012764,199,1,NC_000007.14,55050000,55055000,1339,5000,5000,1.0,0,0
58,45.0,0.3266384778012685,0.001223039997483137,0.003021676215514022,0.04420784333268045,224,1,NC_000007.14,55055000,55060000,1336,5000,5000,1.0,0,0
59,53.0,0.32583454281567487,0.0017362924197972427,0.0034382027982470973,0.053907069413412924,190,2,NC_000007.14,55060000,55065000,1311,5000,5000,1.0,0,0
60,61.0,0.3109289617486339,0.0026002876625040522,0.003885178999980613,0.05947144768547681,122,1,NC_000007.14,55065000,55070000,1310,5000,5000,1.0,0,0
61,60.0,0.315819209039548,0.0022453503922679275,0.0038194597786518005,0.05872061304730082,134,2,NC_000007.14,55070000,55075000,1237,5000,5000,1.0,0,0
62,58.0,0.2976190476190476,0.00224705727692537,0.003729652226486149,0.0553602059986356,152,1,NC_000007.14,55075000,55080000,1364,5000,5000,1.0,0,0
63,70.0,0.30861040068201195,0.0032239662554983113,0.004368497691353161,0.06804812922435591,69,1,NC_000007.14,55080000,55085000,1275,5000,5000,1.0,0,0
64,89.0,0.2599591419816139,0.006273176272491259,0.0054177777743376065,0.08385312482353316,18,2,NC_000007.14,55085000,55090000,1259,5000,5000,1.0,0,0
65,57.0,0.3206291591046582,0.0021788059065328855,0.0037094162977971802,0.0593260880503207,156,2,NC_000007.14,55090000,55095000,1241,5000,5000,1.0,0,0
66,81.0,0.26697530864197533,0.005171831347989814,0.00497707681059306,0.0780892275527841,33,2,NC_000007.14,55095000,55100000,1283,5000,5000,1.0,0,0
67,70.0,0.282815734989648,0.0036242585694452214,0.0043781291008541615,0.06719232521105385,66,1,NC_000007.14,55100000,55105000,1345,5000,5000,1.0,0,0
68,59.0,0.3249561659848042,0.0021692819006175375,0.0037616243571643097,0.05900704855006965,149,2,NC_000007.14,55105000,55110000,2568,5000,5000,1.0,0,0
69,59.0,0.31209818819403856,0.00252342507356351,0.0037900830912937916,0.056389106983158785,142,2,NC_000007.14,55110000,55115000,5539,5000,5000,1.0,0,0
70,54.0,0.2690426275331936,0.0022180132435461603,0.0035233739441628688,0.051286512878442256,179,2,NC_000007.14,55115000,55120000,4770,5000,5000,1.0,0,0
71,59.0,0.2571595558153127,0.002856164547250058,0.0038055043799104034,0.054918217134769645,139,2,NC_000007.14,55120000,55125000,8282,5000,5000,1.0,0,0
72,50.0,0.27465986394557823,0.0017404364551678172,0.003297136102334329,0.04833812351048007,198,2,NC_000007.14,55155000,55160000,35574,5000,5000,1.0,0,0
73,87.0,0.27292167869553596,0.005871440210235668,0.005300331640188647,0.08360191355424383,20,2,NC_000007.14,55160000,55165000,35202,5000,5000,1.0,0,0
74,65.0,0.2879807692307692,0.002991172610775468,0.004098565742801449,0.06376125744244915,97,2,NC_000007.14,55165000,55170000,24327,5000,5000,1.0,0,0
75,49.0,0.324468085106383,0.001453853535070015,0.0032417472046150585,0.04761838230514215,204,2,NC_000007.14,55170000,55175000,27623,5000,5000,1.0,0,0
76,57.0,0.2844611528822055,0.0023959202065943013,0.0036753807885434755,0.055242557478350496,161,1,NC_000007.14,55175000,55180000,3225,5000,5000,1.0,1,9199
77,60.0,0.30683810637054354,0.0023155192143593235,0.003828710254445582,0.059778824895530075,133,2,NC_000007.14,55180000,55185000,22453,5000,5000,1.0,0,0
78,62.0,0.3067160232681121,0.002577891605455201,0.003927259684218259,0.062254494969429794,119,1,NC_000007.14,55185000,55190000,6093,5000,5000,1.0,1,9199
79,60.0,0.27005649717514124,0.0027113464914273007,0.0038363641455260457,0.05810332145945395,131,2,NC_000007.14,55190000,55195000,18938,5000,5000,1.0,0,0
80,54.0,0.283717679944095,0.001978447037518847,0.003511619310854128,0.052074780547193764,181,2,NC_000007.14,55195000,55200000,14134,5000,5000,1.0,0,0
81,69.0,0.2749360613810742,0.0035380787475388902,0.004330040365592147,0.06557688437023378,76,2,NC_000007.14,55200000,55205000,44648,5000,5000,1.0,0,0
82,43.0,0.29500580720092917,0.0012722762635955097,0.0029304615521112756,0.04016316499002061,234,2,NC_000007.14,55205000,55210000,350726,5000,5000,1.0,0,0
83,58.0,0.3018753781004235,0.0023076215881225183,0.003715054760034138,0.05767401316495645,154,2,NC_000007.14,55210000,55215000,98676,5000,5000,1.0,1,192611
84,46.0,0.3178743961352657,0.0013181497670698423,0.003067593955288095,0.045335614083332865,218,2,NC_000007.14,55215000,55220000,454,5000,5000,1.0,0,0
85,41.0,0.31666666666666665,0.0010248662756644313,0.002806654960799283,0.04064853674334787,239,2,NC_000007.14,55220000,55225000,326,5000,5000,1.0,0,0
86,29.0,0.2660098522167488,0.0006641935070017125,0.0021778611648494185,0.02679721100780191,250,2,NC_000007.14,55225000,55230000,344,5000,5000,1.0,0,0
87,35.0,0.2907563025210084,0.0008874885204803807,0.0024966688074591218,0.03279529086447544,245,1,NC_000007.14,55230000,55235000,303,5000,5000,1.0,0,0
88,44.0,0.31007751937984496,0.0012081527300932362,0.0029778563562473026,0.04180421061747695,227,2,NC_000007.14,55235000,55240000,774,5000,5000,1.0,1,17199
89,48.0,0.29609929078014185,0.0015297199235205165,0.0032028503320847947,0.044331698673763555,207,2,NC_000007.14,55240000,55245000,9,5000,5000,1.0,0,0
90,60.0,0.29322033898305083,0.002672209176413185,0.003875671997007459,0.0542859685429147,124,2,NC_000007.14,55245000,55250000,32,1628,5000,0.3256,0,0
91,80.0,0.29145569620253164,0.004652916324466188,0.004945607806811867,0.07334080665454093,37,2,NC_000007.14,55250000,55255000,119,2862,5000,0.5724,0,0
92,74.0,0.28841169937060346,0.004125334341885776,0.0046059164698162725,0.06976797042396335,48,1,NC_000007.14,55255000,55260000,936,2479,5000,0.4958,1,17199
93,59.0,0.2776154295733489,0.002733781316258318,0.0037986091947087475,0.05584077743412549,140,3,NC_000007.14,55260000,55265000,0,0,5000,0.0,0,0
94,54.0,0.29979035639413,0.0020181951155956133,0.003508473869334767,0.05285232880250175,183,2,NC_000007.14,55265000,55270000,0,0,5000,0.0,0,0
95,48.0,0.2898936170212766,0.0016494242917510754,0.00319718589706884,0.04633580747317971,208,1,NC_000007.14,55270000,55275000,0,0,5000,0.0,0,0
96,45.0,0.302020202020202,0.0015091272262498046,0.003047381065700442,0.04157030135389987,219,1,NC_000007.14,55275000,55280000,0,0,5000,0.0,0,0
97,53.0,0.3026124818577649,0.0018297508478334937,0.0034529207354609998,0.05244622325739923,188,2,NC_000007.14,55280000,55285000,3,1566,5000,0.3132,0,0
98,60.0,0.31751412429378534,0.0022852858157781934,0.0038169026394618945,0.06088021536630941,136,1,NC_000007.14,55285000,55290000,8,5000,5000,1.0,0,0
99,45.0,0.33535353535353535,0.001120620866476798,0.0029978935730119558,0.047439771893962396,225,2,NC_000007.14,55290000,55295000,5,5000,5000,1.0,0,0
100,42.0,0.29965156794425085,0.0010776026998528534,0.002846876105708654,0.04259584284098349,237,2,NC_000007.14,55295000,55300000,2,5000,5000,1.0,0,0
101,56.0,0.3212121212121212,0.0018039331374904812,0.003600078712710361,0.056937255911558196,170,1,NC_000007.14,55300000,55305000,2,5000,5000,1.0,0,0
102,73.0,0.2979452054794521,0.0035204684815423625,0.0045215263855590895,0.07335225967597976,52,2,NC_000007.14,55305000,55310000,1,5000,5000,1.0,0,0
103,65.0,0.2986111111111111,0.002869508033419112,0.0041061538642485785,0.0635678161399211,96,2,NC_000007.14,55310000,55315000,10,5000,5000,1.0,0,0
104,72.0,0.26486697965571204,0.003866881176527986,0.004494323242637991,0.06909717624141314,54,2,NC_000007.14,55315000,55320000,7,5000,5000,1.0,0,0
105,107.0,0.2516311056251102,0.008713574477683525,0.006380946959005675,0.10324613330452709,3,2,NC_000007.14,55320000,55325000,3,3492,5000,0.6984,0,0
106,99.0,0.25479282622139765,0.007346427466673901,0.005943258293612759,0.09513915615127969,5,2,NC_000007.14,55325000,55330000,1,51,5000,0.0102,0,0
107,94.0,0.2564630519331961,0.006524651858355229,0.0056705391873737125,0.09093049022607641,10,2,NC_000007.14,55330000,55335000,0,0,5000,0.0,0,0
108,114.0,0.24825337680484397,0.01081952493774649,0.006786338246352535,0.10730579263970798,1,1,NC_000007.14,55335000,55340000,4,59,5000,0.0118,0,0
109,97.0,0.25171821305841924,0.007108319794837111,0.005840296649634478,0.09270215629477872,8,1,NC_000007.14,55340000,55345000,8,310,5000,0.062,0,0
110,99.0,0.28839414553700266,0.006472800561212989,0.005909190427029401,0.09935526697517184,6,2,NC_000007.14,55345000,55350000,1,45,5000,0.009,0,0
111,92.0,0.27424749163879597,0.006037888657248888,0.005556370956955277,0.09047769230380374,12,1,NC_000007.14,55350000,55355000,0,0,5000,0.0,0,0
112,87.0,0.2665062817428495,0.00565715216829113,0.005296398289561886,0.08451152319882725,22,2,NC_000007.14,55355000,55360000,0,0,5000,0.0,0,0
113,84.0,0.28181016749926535,0.005001031459891678,0.005120047978950416,0.08274135659755241,29,2,NC_000007.14,55360000,55365000,5,203,5000,0.0406,0,0
114,110.0,0.2620517097581318,0.00926039235802313,0.006530969838413456,0.10650146565776712,2,2,NC_000007.14,55365000,55370000,2984,4878,5000,0.9756,1,68400
115,107.0,0.2576265208957856,0.0088956377342093,0.006372909225068408,0.10311512581328258,4,2,NC_000007.14,55370000,55375000,598,5000,5000,1.0,0,0
116,90.0,0.24544319600499376,0.006814727589149046,0.005493369087817439,0.08280036802331245,14,2,NC_000007.14,55375000,55380000,592,5000,5000,1.0,0,0
117,80.0,0.255379746835443,0.0053241264934224975,0.004946994243010058,0.07336977386296875,36,2,NC_000007.14,55380000,55385000,546,5000,5000,1.0,0,0
118,91.0,0.25665445665445663,0.006848623993283912,0.005537938923650931,0.08537885380187331,13,2,NC_000007.14,55385000,55390000,592,5000,5000,1.0,0,0
119,62.0,0.31517715494447385,0.0024276748968905357,0.0039317691167860234,0.061986958020992314,118,1,NC_000007.14,55390000,55395000,1462,5000,5000,1.0,0,0
120,60.0,0.33559322033898303,0.0021659844554543788,0.0038124631071415342,0.06170980370825949,138,3,NC_000007.14,55395000,55400000,3768,5000,5000,1.0,0,0
121,57.0,0.34022556390977443,0.0019427032302376333,0.003653332133882604,0.058167066038694794,164,2,NC_000007.14,55400000,55405000,4253,5000,5000,1.0,0,0
122,34.0,0.3048128342245989,0.0007310013539940988,0.0024271770769605412,0.03358932823198836,247,2,NC_000007.14,55405000,55410000,931,5000,5000,1.0,0,0
123,45.0,0.26666666666666666,0.00139717810815395,0.003022041450952924,0.0431881011172402,223,2,NC_000007.14,55410000,55415000,3392,5000,5000,1.0,0,0
124,49.0,0.31462585034013607,0.001501597724820277,0.003221475185962619,0.050152834016255775,206,2,NC_000007.14,55415000,55420000,841,5000,5000,1.0,0,0
125,38.0,0.2972972972972973,0.0009894330376920132,0.0026474538983118035,0.03751081402367315,242,1,NC_000007.14,55420000,55425000,908,5000,5000,1.0,0,0
126,56.0,0.2714285714285714,0.0024755158937988923,0.003634695911942569,0.05374138718878834,166,1,NC_000007.14,55425000,55430000,3987,5000,5000,1.0,0,0
127,73.0,0.2621765601217656,0.004554223284171273,0.004573252459823202,0.06826493530347677,49,1,NC_000007.14,55430000,55435000,12522,5000,5000,1.0,2,205938
128,34.0,0.30303030303030304,0.0007230394378073386,0.002426705039195803,0.033358310324624406,248,1,NC_000007.14,55435000,55440000,709,5000,5000,1.0,0,0
129,28.0,0.35327635327635326,0.0004141917986550667,0.0021103850208421793,0.027661214532469627,251,2,NC_000007.14,55440000,55445000,241,5000,5000,1.0,0,0
130,48.0,0.2650709219858156,0.001714647792389987,0.0031891565170929946,0.04673315264109568,212,2,NC_000007.14,55445000,55450000,251,5000,5000,1.0,0,0
131,56.0,0.2714285714285714,0.0021484430766235837,0.003603740907622205,0.055064680560281874,169,2,NC_000007.14,55450000,55455000,3752,5000,5000,1.0,0,0
132,71.0,0.24185110663983903,0.004203081376354295,0.004455321917715104,0.06577797435703198,60,2,NC_000007.14,55455000,55460000,14643,5000,5000,1.0,0,0
133,67.0,0.2908186341022162,0.003156336679948175,0.004212631272322854,0.06522887719399907,87,1,NC_000007.14,55460000,55465000,14681,5000,5000,1.0,0,0
134,54.0,0.2576197387518142,0.00227863272459817,0.0035316066454358485,0.049743192596383275,178,1,NC_000007.14,55465000,55470000,13623,5000,5000,1.0,0,0
135,78.0,0.27409432672590567,0.004557231398386499,0.004812812426537919,0.07526571219919757,42,2,NC_000007.14,55470000,55475000,205047,5000,5000,1.0,0,0
136,68.0,0.276797829036635,0.0034714925644672386,0.004274993015608339,0.06538160911936731,83,2,NC_000007.14,55475000,55480000,10696,5000,5000,1.0,0,0
137,52.0,0.28,0.0018787674991044853,0.003405274935997264,0.05034635365275953,192,2,NC_000007.14,55480000,55485000,10064,5000,5000,1.0,0,0
138,70.0,0.2939958592132505,0.0032215371316193704,0.004345520223097978,0.07113313294518832,74,2,NC_000007.14,55485000,55490000,10135,5000,5000,1.0,0,0
139,72.0,0.2777777777777778,0.003920740537116808,0.004489479008604231,0.0696514362183282,55,2,NC_000007.14,55490000,55495000,15938,5000,5000,1.0,0,0
140,44.0,0.346723044397463,0.0010672277066924374,0.0029425480728290394,0.04581057087077902,231,1,NC_000007.14,55495000,55500000,2621,5000,5000,1.0,0,0
141,62.0,0.2659968270756214,0.0029411833176077777,0.0039488198630241835,0.05958914533306458,115,1,NC_000007.14,55500000,55505000,180,5000,5000,1.0,0,0
142,49.0,0.3129432624113475,0.0014856024945262244,0.003224474060878859,0.05046065387486277,205,2,NC_000007.14,55505000,55510000,112,5000,5000,1.0,0,0
143,61.0,0.29548022598870055,0.0024202942556108436,0.0038728515875368725,0.06110137134309057,126,2,NC_000007.14,55510000,55515000,96,5000,5000,1.0,0,0
144,69.0,0.3030690537084399,0.0030523862936238503,0.004291172530910187,0.07047665000438869,81,1,NC_000007.14,55515000,55520000,149,5000,5000,1.0,0,0
145,59.0,0.3138515488018703,0.0022542254374471,0.0037572442793037783,0.06012057080537073,150,1,NC_000007.14,55520000,55525000,723,5000,5000,1.0,0,0
146,61.0,0.32598870056497176,0.002239693624618416,0.003867169671748831,0.0618304475691928,128,2,NC_000007.14,55525000,55530000,615,5000,5000,1.0,0,0
147,57.0,0.30137844611528825,0.0021671069615246705,0.0036502014888515643,0.05893467990871421,165,2,NC_000007.14,55530000,55535000,614,5000,5000,1.0,0,0
148,53.0,0.2914046121593291,0.002136942776578267,0.0035204659831895016,0.0519428025078947,180,1,NC_000007.14,55535000,55540000,628,5000,5000,1.0,0,0
149,77.0,0.30666666666666664,0.003880148904314303,0.0047273772433578404,0.07806361476746325,43,2,NC_000007.14,55540000,55545000,667,5000,5000,1.0,0,0
150,70.0,0.3060041407867495,0.0031757160371218758,0.004346307259405332,0.0717242178513116,73,1,NC_000007.14,55545000,55550000,653,5000,5000,1.0,0,0
151,86.0,0.2957592339261286,0.005048591833102084,0.00521196353750031,0.08650741048881135,24,1,NC_000007.14,55550000,55555000,649,5000,5000,1.0,0,0
152,95.0,0.25599104143337065,0.0074812351410592694,0.005740487437068197,0.09090484276807516,9,2,NC_000007.14,55555000,55560000,648,5000,5000,1.0,0,0
153,64.0,0.32589285714285715,0.0024591923169155075,0.0040160765045126005,0.06612224941153866,105,1,NC_000007.14,55560000,55565000,671,5000,5000,1.0,0,0
154,60.0,0.31468926553672316,0.0024038122166994557,0.0038182645366357185,0.061310426457777414,135,2,NC_000007.14,55565000,55570000,72,5000,5000,1.0,0,0
155,79.0,0.27166504381694256,0.005086744706649322,0.004890277900143453,0.07380613995106704,41,2,NC_000007.14,55570000,55575000,230,3257,5000,0.6514,2,161432
156,61.0,0.2994535519125683,0.002498022181863474,0.0038732162433372823,0.06165583276437552,125,2,NC_000007.14,55575000,55580000,11,412,5000,0.0824,0,0
157,59.0,0.3042952208106473,0.0022432728952434915,0.0037680631860970066,0.0585207601660361,147,2,NC_000007.14,55580000,55585000,5,218,5000,0.0436,0,0
158,61.0,0.3107344632768362,0.002305798259298611,0.003872465519520944,0.06110908459354174,127,3,NC_000007.14,55585000,55590000,22,1320,5000,0.264,0,0
159,59.0,0.3027469316189363,0.002399571823399094,0.003779311643321806,0.057123130405245005,146,1,NC_000007.14,55590000,55595000,20,1151,5000,0.2302,0,0
160,45.0,0.28383838383838383,0.0014557534056288002,0.0030300350830694536,0.043223187226018984,221,2,NC_000007.14,55595000,55600000,8,315,5000,0.063,1,23894
161,56.0,0.3077922077922078,0.0020642808021646094,0.003613064157259568,0.05434174953388866,167,1,NC_000007.14,55600000,55605000,0,0,5000,0.0,0,0
162,64.0,0.2554563492063492,0.0034570897441827553,0.004071804802138734,0.059565301302480014,99,2,NC_000007.14,55605000,55610000,31,139,5000,0.0278,0,0
163,82.0,0.2559470039144836,0.005758380820406703,0.005052067553542769,0.07753365213721615,30,1,NC_000007.14,55610000,55615000,0,0,5000,0.0,0,0
164,60.0,0.29774011299435027,0.0024910070290060826,0.0038341492880047887,0.058684167372512426,132,2,NC_000007.14,55615000,55620000,1,51,5000,0.0102,0,0
165,59.0,0.29865575686732904,0.002202516733290459,0.0037524383624845717,0.06084594489409311,151,2,NC_000007.14,55620000,55625000,0,0,5000,0.0,0,0
166,43.0,0.2912513842746401,0.0014991314291670469,0.002934093526972968,0.041228879965842194,232,2,NC_000007.14,55625000,55630000,5,246,5000,0.0492,0,0
167,38.0,0.26173541963015645,0.0011339186622395293,0.002660456724152209,0.035371402031521934,241,2,NC_000007.14,55630000,55635000,8,204,5000,0.0408,0,0
168,62.0,0.26229508196721313,0.00292875630206199,0.003951101005166116,0.058870473622764465,114,2,NC_000007.14,55635000,55640000,124,2038,5000,0.4076,0,0
169,70.0,0.2790890269151139,0.003788932208492591,0.004389227185008046,0.06588296663296146,64,1,NC_000007.14,55640000,55645000,8,4558,5000,0.9116,0,0
170,40.0,0.25,0.0013341553107941526,0.002820473057388024,0.038297984207054464,238,1,NC_000007.14,55645000,55650000,20,674,5000,0.1348,0,0
171,35.0,0.3142857142857143,0.0008203979675880485,0.00248158004496404,0.03511093389601499,246,2,NC_000007.14,55650000,55655000,11,480,5000,0.096,0,0
172,36.0,0.31587301587301586,0.0008480081013866289,0.002542691520043318,0.03562257600762139,244,2,NC_000007.14,55655000,55660000,20,244,5000,0.0488,0,0
173,30.0,0.3103448275862069,0.0005922234493440511,0.00221973388968936,0.02967912217989871,249,1,NC_000007.14,55660000,55665000,3,112,5000,0.0224,0,0
