,chromosome,source,feature_type,start,end,score,strand,phase,attributes
1731365,NC_000007.14,Gnomon,gene,262723,264214,.,+,.,ID=gene-LOC124901807;Dbxref=GeneID:124901807;Name=LOC124901807;description=G patch domain-containing protein 8-like;gbkey=Gene;gene=LOC124901807;gene_biotype=protein_coding
1731371,NC_000007.14,BestRefSeq,gene,290170,291488,.,+,.,"ID=gene-FOXL3;Dbxref=GeneID:116033993,HGNC:HGNC:54201;Name=FOXL3;description=forkhead box L3;gbkey=Gene;gene=FOXL3;gene_biotype=protein_coding"
1731379,NC_000007.14,BestRefSeq,gene,291229,294422,.,+,.,"ID=gene-FOXL3-OT1;Dbxref=GeneID:100288524,HGNC:HGNC:54640;Name=FOXL3-OT1;description=FOXL3 overlapping transcript 1;gbkey=Gene;gene=FOXL3-OT1;gene_biotype=lncRNA;gene_synonym=FOXL3,WI2-2373I1.2"
1731385,NC_000007.14,Gnomon,gene,329627,333265,.,-,.,ID=gene-LOC105375118;Dbxref=GeneID:105375118;Name=LOC105375118;description=uncharacterized LOC105375118;gbkey=Gene;gene=LOC105375118;gene_biotype=lncRNA
1731406,NC_000007.14,Gnomon,gene,344861,350940,.,-,.,ID=gene-LOC124901809;Dbxref=GeneID:124901809;Name=LOC124901809;description=uncharacterized LOC124901809;gbkey=Gene;gene=LOC124901809;gene_biotype=lncRNA
1731420,NC_000007.14,BestRefSeq,gene,379425,382879,.,+,.,ID=gene-LOC442497;Dbxref=GeneID:442497;Name=LOC442497;description=uncharacterized LOC442497;gbkey=Gene;gene=LOC442497;gene_biotype=lncRNA
1731431,NC_000007.14,BestRefSeq,gene,425462,439389,.,+,.,ID=gene-LOC116435278;Dbxref=GeneID:116435278;Name=LOC116435278;description=uncharacterized LOC116435278;gbkey=Gene;gene=LOC116435278;gene_biotype=lncRNA
1731443,NC_000007.14,BestRefSeq,gene,427049,431801,.,-,.,ID=gene-LOC112267991;Dbxref=GeneID:112267991;Name=LOC112267991;description=uncharacterized LOC112267991;gbkey=Gene;gene=LOC112267991;gene_biotype=lncRNA
1731455,NC_000007.14,Gnomon,gene,446228,447448,.,+,.,ID=gene-LOC124901566;Dbxref=GeneID:124901566;Name=LOC124901566;description=uncharacterized LOC124901566;gbkey=Gene;gene=LOC124901566;gene_biotype=lncRNA
1731483,NC_000007.14,BestRefSeq%2CGnomon,gene,497258,520700,.,-,.,"ID=gene-PDGFA;Dbxref=GeneID:5154,HGNC:HGNC:8799,MIM:173430;Name=PDGFA;description=platelet derived growth factor subunit A;gbkey=Gene;gene=PDGFA;gene_biotype=protein_coding;gene_synonym=PDGF-A,PDGF1"
1731734,NC_000007.14,BestRefSeq,gene,520391,525232,.,+,.,"ID=gene-PDGFA-DT;Dbxref=GeneID:441307,HGNC:HGNC:55865;Name=PDGFA-DT;description=PDGFA divergent transcript;gbkey=Gene;gene=PDGFA-DT;gene_biotype=lncRNA;gene_synonym=HRAT92"
1731753,NC_000007.14,BestRefSeq%2CGnomon,gene,549197,728934,.,-,.,"ID=gene-PRKAR1B;Dbxref=GeneID:5575,HGNC:HGNC:9390,MIM:176911;Name=PRKAR1B;description=protein kinase cAMP-dependent type I regulatory subunit beta;gbkey=Gene;gene=PRKAR1B;gene_biotype=protein_coding;gene_synonym=MASNS,PRKAR1"
1731985,NC_000007.14,BestRefSeq,gene,561958,565619,.,+,.,"ID=gene-PRKAR1B-AS2;Dbxref=GeneID:101927000,HGNC:HGNC:40469;Name=PRKAR1B-AS2;description=PRKAR1B antisense RNA 2;gbkey=Gene;gene=PRKAR1B-AS2;gene_biotype=lncRNA"
1731999,NC_000007.14,BestRefSeq,gene,602845,608502,.,+,.,"ID=gene-PRKAR1B-AS1;Dbxref=GeneID:101926963,HGNC:HGNC:40470;Name=PRKAR1B-AS1;description=PRKAR1B antisense RNA 1;gbkey=Gene;gene=PRKAR1B-AS1;gene_biotype=lncRNA"
1732013,NC_000007.14,Gnomon,gene,612961,614574,.,-,.,ID=gene-LOC105375119;Dbxref=GeneID:105375119;Name=LOC105375119;description=uncharacterized LOC105375119;gbkey=Gene;gene=LOC105375119;gene_biotype=lncRNA
1732033,NC_000007.14,BestRefSeq%2CGnomon,gene,726699,786475,.,+,.,"ID=gene-DNAAF5;Dbxref=GeneID:54919,HGNC:HGNC:26013,MIM:614864;Name=DNAAF5;description=dynein axonemal assembly factor 5;gbkey=Gene;gene=DNAAF5;gene_biotype=protein_coding;gene_synonym=CILD18,HEATR2"
1732117,NC_000007.14,Gnomon,gene,789453,797819,.,+,.,ID=gene-LOC124901567;Dbxref=GeneID:124901567;Name=LOC124901567;description=uncharacterized LOC124901567;gbkey=Gene;gene=LOC124901567;gene_biotype=lncRNA
1732131,NC_000007.14,BestRefSeq,gene,815557,874934,.,+,.,"ID=gene-SUN1;Dbxref=GeneID:23353,HGNC:HGNC:18587,MIM:607723;Name=SUN1;description=Sad1 and UNC84 domain containing 1;gbkey=Gene;gene=SUN1;gene_biotype=protein_coding;gene_synonym=UNC84A"
1735060,NC_000007.14,Gnomon,gene,866916,872150,.,-,.,ID=gene-LOC124901568;Dbxref=GeneID:124901568;Name=LOC124901568;description=uncharacterized LOC124901568;gbkey=Gene;gene=LOC124901568;gene_biotype=lncRNA
1735068,NC_000007.14,BestRefSeq,gene,876554,896436,.,+,.,"ID=gene-GET4;Dbxref=GeneID:51608,HGNC:HGNC:21690,MIM:612056;Name=GET4;description=guided entry of tail-anchored proteins factor 4;gbkey=Gene;gene=GET4;gene_biotype=protein_coding;gene_synonym=C7orf20,CDG2Y,CEE,CGI-20,TRC35"
1735103,NC_000007.14,BestRefSeq,gene,897900,955407,.,-,.,"ID=gene-ADAP1;Dbxref=GeneID:11033,HGNC:HGNC:16486,MIM:608114;Name=ADAP1;description=ArfGAP with dual PH domains 1;gbkey=Gene;gene=ADAP1;gene_biotype=protein_coding;gene_synonym=CENTA1,GCS1L,p42IP4"
1735250,NC_000007.14,Gnomon,gene,954854,955490,.,+,.,ID=gene-LOC124901569;Dbxref=GeneID:124901569;Name=LOC124901569;description=uncharacterized LOC124901569;gbkey=Gene;gene=LOC124901569;gene_biotype=lncRNA
1735264,NC_000007.14,BestRefSeq,gene,964852,975549,.,-,.,"ID=gene-COX19;Dbxref=GeneID:90639,HGNC:HGNC:28074,MIM:610429;Name=COX19;description=cytochrome c oxidase assembly factor COX19;gbkey=Gene;gene=COX19;gene_biotype=protein_coding"
1735283,NC_000007.14,BestRefSeq,gene,977964,1138257,.,-,.,"ID=gene-C7orf50;Dbxref=GeneID:84310,HGNC:HGNC:22421;Name=C7orf50;description=chromosome 7 open reading frame 50;gbkey=Gene;gene=C7orf50;gene_biotype=protein_coding;gene_synonym=Cholesin,YCR016W"
1735456,NC_000007.14,BestRefSeq%2CGnomon,gene,983181,989640,.,+,.,"ID=gene-CYP2W1;Dbxref=GeneID:54905,HGNC:HGNC:20243,MIM:615967;Name=CYP2W1;description=cytochrome P450 family 2 subfamily W member 1;gbkey=Gene;gene=CYP2W1;gene_biotype=protein_coding"
1735530,NC_000007.14,Gnomon,gene,1004159,1006071,.,+,.,ID=gene-LOC124901570;Dbxref=GeneID:124901570;Name=LOC124901570;description=uncharacterized LOC124901570;gbkey=Gene;gene=LOC124901570;gene_biotype=lncRNA
1735535,NC_000007.14,BestRefSeq,gene,1022933,1023026,.,-,.,"ID=gene-MIR339;Dbxref=GeneID:442907,HGNC:HGNC:31776,MIM:615977,miRBase:MI0000815;Name=MIR339;description=microRNA 339;gbkey=Gene;gene=MIR339;gene_biotype=miRNA;gene_synonym=hsa-mir-339,mir-339,MIRN339"
1735565,NC_000007.14,BestRefSeq%2CGnomon,gene,1044546,1059261,.,+,.,"ID=gene-GPR146;Dbxref=GeneID:115330,HGNC:HGNC:21718;Name=GPR146;description=G protein-coupled receptor 146;gbkey=Gene;gene=GPR146;gene_biotype=protein_coding;gene_synonym=PGR8"
1735613,NC_000007.14,BestRefSeq,gene,1065731,1078062,.,+,.,ID=gene-LOC105375120;Dbxref=GeneID:105375120;Name=LOC105375120;description=uncharacterized LOC105375120;gbkey=Gene;gene=LOC105375120;gene_biotype=lncRNA
1735641,NC_000007.14,BestRefSeq,gene,1087118,1093810,.,+,.,"ID=gene-GPER1;Dbxref=GeneID:2852,HGNC:HGNC:4485,MIM:601805;Name=GPER1;description=G protein-coupled estrogen receptor 1;gbkey=Gene;gene=GPER1;gene_biotype=protein_coding;gene_synonym=CEPR,CMKRL2,DRY12,FEG-1,GPCR-Br,GPER,GPR30,LERGU,LERGU2,LyGPR,mER"
1735663,NC_000007.14,Gnomon,gene,1112775,1131692,.,+,.,ID=gene-LOC102723758;Dbxref=GeneID:102723758;Name=LOC102723758;description=uncharacterized LOC102723758;gbkey=Gene;gene=LOC102723758;gene_biotype=lncRNA
1735690,NC_000007.14,BestRefSeq,gene,1148850,1160196,.,-,.,"ID=gene-ZFAND2A;Dbxref=GeneID:90637,HGNC:HGNC:28073,MIM:610699;Name=ZFAND2A;description=zinc finger AN1-type containing 2A;gbkey=Gene;gene=ZFAND2A;gene_biotype=protein_coding;gene_synonym=AIRAP"
1735735,NC_000007.14,BestRefSeq,gene,1160374,1165958,.,+,.,"ID=gene-ZFAND2A-DT;Dbxref=GeneID:101927021,HGNC:HGNC:41187;Name=ZFAND2A-DT;description=ZFAND2A divergent transcript;gbkey=Gene;gene=ZFAND2A-DT;gene_biotype=lncRNA"
1735781,NC_000007.14,BestRefSeq,gene,1232872,1237326,.,+,.,"ID=gene-UNCX;Dbxref=GeneID:340260,HGNC:HGNC:33194;Name=UNCX;description=UNC homeobox;gbkey=Gene;gene=UNCX;gene_biotype=protein_coding;gene_synonym=UNCX4.1"
1735829,NC_000007.14,BestRefSeq%2CGnomon,gene,1434359,1459470,.,-,.,"ID=gene-MICALL2;Dbxref=GeneID:79778,HGNC:HGNC:29672,MIM:620912;Name=MICALL2;description=MICAL like 2;gbkey=Gene;gene=MICALL2;gene_biotype=protein_coding;gene_synonym=JRAB,MICAL-L2"
1735958,NC_000007.14,Gnomon,gene,1459919,1464586,.,+,.,"ID=gene-MICALL2-DT;Dbxref=GeneID:107986756,HGNC:HGNC:56050;Name=MICALL2-DT;description=MICALL2 divergent transcript;gbkey=Gene;gene=MICALL2-DT;gene_biotype=lncRNA"
1735973,NC_000007.14,BestRefSeq%2CGnomon,gene,1470277,1504389,.,-,.,"ID=gene-INTS1;Dbxref=GeneID:26173,HGNC:HGNC:24555,MIM:611345;Name=INTS1;description=integrator complex subunit 1;gbkey=Gene;gene=INTS1;gene_biotype=protein_coding;gene_synonym=INT1,NDCAGF,NET28"
1736242,NC_000007.14,Gnomon,gene,1521639,1525609,.,-,.,ID=gene-LOC124901572;Dbxref=GeneID:124901572;Name=LOC124901572;description=uncharacterized LOC124901572;gbkey=Gene;gene=LOC124901572;gene_biotype=lncRNA
1736250,NC_000007.14,BestRefSeq%2CGnomon,gene,1530702,1543043,.,+,.,"ID=gene-MAFK;Dbxref=GeneID:7975,HGNC:HGNC:6782,MIM:600197;Name=MAFK;description=MAF bZIP transcription factor K;gbkey=Gene;gene=MAFK;gene_biotype=protein_coding;gene_synonym=NFE2U,P18"
1736281,NC_000007.14,BestRefSeq,gene,1532453,1534880,.,-,.,ID=gene-LOC100128653;Dbxref=GeneID:100128653;Name=LOC100128653;description=uncharacterized LOC100128653;gbkey=Gene;gene=LOC100128653;gene_biotype=lncRNA
1736294,NC_000007.14,BestRefSeq,gene,1542235,1556205,.,-,.,"ID=gene-TMEM184A;Dbxref=GeneID:202915,HGNC:HGNC:28797;Name=TMEM184A;description=transmembrane protein 184A;gbkey=Gene;gene=TMEM184A;gene_biotype=protein_coding;gene_synonym=SDMG1,SLC51C1"
1736331,NC_000007.14,BestRefSeq,gene,1567332,1570032,.,-,.,"ID=gene-PSMG3;Dbxref=GeneID:84262,HGNC:HGNC:22420,MIM:617528;Name=PSMG3;description=proteasome assembly chaperone 3;gbkey=Gene;gene=PSMG3;gene_biotype=protein_coding;gene_synonym=C7orf48,PAC3"
1736347,NC_000007.14,BestRefSeq,gene,1570073,1589626,.,+,.,"ID=gene-PSMG3-AS1;Dbxref=GeneID:114796,HGNC:HGNC:22230;Name=PSMG3-AS1;description=PSMG3 antisense RNA 1 (head to head);gbkey=Gene;gene=PSMG3-AS1;gene_biotype=lncRNA"
1736376,NC_000007.14,Gnomon,gene,1592439,1604790,.,+,.,ID=gene-LOC105375123;Dbxref=GeneID:105375123;Name=LOC105375123;description=uncharacterized LOC105375123;gbkey=Gene;gene=LOC105375123;gene_biotype=lncRNA
1736397,NC_000007.14,BestRefSeq,gene,1619595,1621404,.,+,.,ID=gene-LOC105375303;Dbxref=GeneID:105375303;Name=LOC105375303;description=uncharacterized LOC105375303;gbkey=Gene;gene=LOC105375303;gene_biotype=lncRNA
1736403,NC_000007.14,BestRefSeq%2CGnomon,gene,1666064,1747946,.,+,.,"ID=gene-ELFN1;Dbxref=GeneID:392617,HGNC:HGNC:33154,MIM:614964;Name=ELFN1;description=extracellular leucine rich repeat and fibronectin type III domain containing 1;gbkey=Gene;gene=ELFN1;gene_biotype=protein_coding;gene_synonym=PPP1R28"
1736462,NC_000007.14,Gnomon,gene,1691906,1694350,.,-,.,"ID=gene-LNCRI;Dbxref=GeneID:401296,HGNC:HGNC:53790;Name=LNCRI;description=lncRNA radiation induced regulator of PLK1 and RAD51;gbkey=Gene;gene=LNCRI;gene_biotype=lncRNA"
1736488,NC_000007.14,Gnomon,gene,1718139,1720385,.,-,.,ID=gene-LOC124901819;Dbxref=GeneID:124901819;Name=LOC124901819;description=uncharacterized LOC124901819;gbkey=Gene;gene=LOC124901819;gene_biotype=protein_coding
1736498,NC_000007.14,Gnomon,gene,1721024,1726380,.,-,.,ID=gene-LOC105375124;Dbxref=GeneID:105375124;Name=LOC105375124;description=uncharacterized LOC105375124;gbkey=Gene;gene=LOC105375124;gene_biotype=lncRNA
1736512,NC_000007.14,BestRefSeq,gene,1738630,1742310,.,-,.,"ID=gene-ELFN1-AS1;Dbxref=GeneID:101927125,HGNC:HGNC:39071;Name=ELFN1-AS1;description=ELFN1 antisense RNA 1;gbkey=Gene;gene=ELFN1-AS1;gene_biotype=lncRNA;gene_synonym=MYCLo-2"
1736532,NC_000007.14,BestRefSeq,gene,1815795,2232945,.,-,.,"ID=gene-MAD1L1;Dbxref=GeneID:8379,HGNC:HGNC:6762,MIM:602686;Name=MAD1L1;description=mitotic arrest deficient 1 like 1;gbkey=Gene;gene=MAD1L1;gene_biotype=protein_coding;gene_synonym=MAD1,MVA7,PIG9,TP53I9,TXBP181"
1736724,NC_000007.14,Gnomon,gene,1838667,1847782,.,+,.,ID=gene-LOC100127955;Dbxref=GeneID:100127955;Name=LOC100127955;description=uncharacterized LOC100127955;gbkey=Gene;gene=LOC100127955;gene_biotype=lncRNA
1736728,NC_000007.14,BestRefSeq,gene,1844180,1844253,.,-,.,"ID=gene-MIR4655;Dbxref=GeneID:100616160,HGNC:HGNC:41754,miRBase:MI0017283;Name=MIR4655;description=microRNA 4655;gbkey=Gene;gene=MIR4655;gene_biotype=miRNA"
1736794,NC_000007.14,Gnomon,gene,1980509,1986339,.,+,.,ID=gene-LOC124901573;Dbxref=GeneID:124901573;Name=LOC124901573;description=uncharacterized LOC124901573;gbkey=Gene;gene=LOC124901573;gene_biotype=lncRNA
1736843,NC_000007.14,BestRefSeq,gene,2088912,2089052,.,-,.,"ID=gene-SNORA114;Dbxref=GeneID:109623488,HGNC:HGNC:51852;Name=SNORA114;description=small nucleolar RNA%2C H/ACA box 114;gbkey=Gene;gene=SNORA114;gene_biotype=snoRNA"
1736858,NC_000007.14,Gnomon,gene,2110580,2117740,.,+,.,ID=gene-LOC105375127;Dbxref=GeneID:105375127;Name=LOC105375127;description=uncharacterized LOC105375127;gbkey=Gene;gene=LOC105375127;gene_biotype=lncRNA
1736887,NC_000007.14,Gnomon,gene,2199718,2205200,.,+,.,ID=gene-LOC105375126;Dbxref=GeneID:105375126;Name=LOC105375126;description=uncharacterized LOC105375126;gbkey=Gene;gene=LOC105375126;gene_biotype=lncRNA
1736906,NC_000007.14,BestRefSeq,gene,2234195,2242205,.,-,.,"ID=gene-MRM2;Dbxref=GeneID:29960,HGNC:HGNC:16352,MIM:606906;Name=MRM2;description=mitochondrial rRNA methyltransferase 2;gbkey=Gene;gene=MRM2;gene_biotype=protein_coding;gene_synonym=FJH1,FTSJ2,HEL97,MTDPS17,RRMJ2"
1736921,NC_000007.14,BestRefSeq,gene,2242226,2251145,.,+,.,"ID=gene-NUDT1;Dbxref=GeneID:4521,HGNC:HGNC:8048,MIM:600312;Name=NUDT1;description=nudix hydrolase 1;gbkey=Gene;gene=NUDT1;gene_biotype=protein_coding;gene_synonym=MTH1"
1737021,NC_000007.14,BestRefSeq%2CGnomon,gene,2251770,2354497,.,-,.,"ID=gene-SNX8;Dbxref=GeneID:29886,HGNC:HGNC:14972,MIM:614905;Name=SNX8;description=sorting nexin 8;gbkey=Gene;gene=SNX8;gene_biotype=protein_coding;gene_synonym=Mvp1"
1737137,NC_000007.14,BestRefSeq,gene,2257515,2257577,.,-,.,"ID=gene-MIR6836;Dbxref=GeneID:102465503,HGNC:HGNC:50067,miRBase:MI0022682;Name=MIR6836;description=microRNA 6836;gbkey=Gene;gene=MIR6836;gene_biotype=miRNA;gene_synonym=hsa-mir-6836"
1737195,NC_000007.14,BestRefSeq%2CGnomon,gene,2354086,2380745,.,+,.,"ID=gene-EIF3B;Dbxref=GeneID:8662,HGNC:HGNC:3280,MIM:603917;Name=EIF3B;description=eukaryotic translation initiation factor 3 subunit B;gbkey=Gene;gene=EIF3B;gene_biotype=protein_coding;gene_synonym=EIF3-ETA,EIF3-P110,EIF3-P116,EIF3S9,PRT1"
1737538,NC_000007.14,BestRefSeq%2CGnomon,gene,2403448,2448484,.,+,.,"ID=gene-CHST12;Dbxref=GeneID:55501,HGNC:HGNC:17423,MIM:610129;Name=CHST12;description=carbohydrate sulfotransferase 12;gbkey=Gene;gene=CHST12;gene_biotype=protein_coding;gene_synonym=C4S-2,C4ST-2,C4ST2"
1737657,NC_000007.14,BestRefSeq,gene,2474728,2476398,.,-,.,"ID=gene-GRIFIN;Dbxref=GeneID:402635,HGNC:HGNC:4577,MIM:619187;Name=GRIFIN;description=galectin-related inter-fiber protein;gbkey=Gene;gene=GRIFIN;gene_biotype=protein_coding"
1737681,NC_000007.14,Gnomon,gene,2505857,2509071,.,-,.,ID=gene-LOC107986759;Dbxref=GeneID:107986759;Name=LOC107986759;description=uncharacterized LOC107986759;gbkey=Gene;gene=LOC107986759;gene_biotype=lncRNA
1737692,NC_000007.14,BestRefSeq,gene,2512529,2529177,.,+,.,"ID=gene-LFNG;Dbxref=GeneID:3955,HGNC:HGNC:6560,MIM:602576;Name=LFNG;description=LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase;gbkey=Gene;gene=LFNG;gene_biotype=protein_coding;gene_synonym=SCDO3"
1737774,NC_000007.14,BestRefSeq,gene,2527074,2527145,.,+,.,"ID=gene-MIR4648;Dbxref=GeneID:100616116,HGNC:HGNC:41560,miRBase:MI0017275;Name=MIR4648;description=microRNA 4648;gbkey=Gene;gene=MIR4648;gene_biotype=miRNA"
1737797,NC_000007.14,BestRefSeq%2CGnomon,gene,2537810,2555524,.,-,.,"ID=gene-BRAT1;Dbxref=GeneID:221927,HGNC:HGNC:21701,MIM:614506;Name=BRAT1;description=BRCA1 associated ATM activator 1;gbkey=Gene;gene=BRAT1;gene_biotype=protein_coding;gene_synonym=BAAT1,C7orf27,NEDCAS,RMFSL"
1738347,NC_000007.14,BestRefSeq%2CGnomon,gene,2558979,2614728,.,+,.,"ID=gene-IQCE;Dbxref=GeneID:23288,HGNC:HGNC:29171,MIM:617631;Name=IQCE;description=IQ motif containing E;gbkey=Gene;gene=IQCE;gene_biotype=protein_coding;gene_synonym=1700028P05Rik,PAPA7"
1738963,NC_000007.14,Gnomon,gene,2614583,2622188,.,-,.,ID=gene-LOC107986760;Dbxref=GeneID:107986760;Name=LOC107986760;description=uncharacterized LOC107986760;gbkey=Gene;gene=LOC107986760;gene_biotype=lncRNA
1738979,NC_000007.14,BestRefSeq,gene,2631986,2664802,.,+,.,"ID=gene-TTYH3;Dbxref=GeneID:80727,HGNC:HGNC:22222,MIM:608919;Name=TTYH3;description=tweety family member 3;gbkey=Gene;gene=TTYH3;gene_biotype=protein_coding"
1739039,NC_000007.14,BestRefSeq%2CGnomon,gene,2679522,2765138,.,+,.,"ID=gene-AMZ1;Dbxref=GeneID:155185,HGNC:HGNC:22231,MIM:615168;Name=AMZ1;description=archaelysin family metallopeptidase 1;gbkey=Gene;gene=AMZ1;gene_biotype=protein_coding"
1739212,NC_000007.14,BestRefSeq,gene,2728105,2844308,.,-,.,"ID=gene-GNA12;Dbxref=GeneID:2768,HGNC:HGNC:4380,MIM:604394;Name=GNA12;description=G protein subunit alpha 12;gbkey=Gene;gene=GNA12;gene_biotype=protein_coding;gene_synonym=gep,HG1M1,NNX3,RMP"
1739306,NC_000007.14,BestRefSeq,gene,2906142,3043867,.,-,.,"ID=gene-CARD11;Dbxref=GeneID:84433,HGNC:HGNC:16393,MIM:607210;Name=CARD11;description=caspase recruitment domain family member 11;gbkey=Gene;gene=CARD11;gene_biotype=protein_coding;gene_synonym=BENTA,BIMP3,CARMA1,IMD11,IMD11A,PPBL"
1739418,NC_000007.14,BestRefSeq,gene,2944035,2947087,.,+,.,"ID=gene-CARD11-AS1;Dbxref=GeneID:101927256,HGNC:HGNC:40766;Name=CARD11-AS1;description=CARD11 antisense RNA 1;gbkey=Gene;gene=CARD11-AS1;gene_biotype=lncRNA"
1739443,NC_000007.14,Gnomon,gene,3094126,3118034,.,-,.,ID=gene-LOC105375130;Dbxref=GeneID:105375130;Name=LOC105375130;description=uncharacterized LOC105375130;gbkey=Gene;gene=LOC105375130;gene_biotype=lncRNA
1739447,NC_000007.14,BestRefSeq,gene,3140917,3158573,.,-,.,ID=gene-LOC100129603;Dbxref=GeneID:100129603;Name=LOC100129603;description=uncharacterized LOC100129603;gbkey=Gene;gene=LOC100129603;gene_biotype=lncRNA
1739457,NC_000007.14,Gnomon,gene,3194094,3198304,.,-,.,ID=gene-LOC124901574;Dbxref=GeneID:124901574;Name=LOC124901574;description=uncharacterized LOC124901574;gbkey=Gene;gene=LOC124901574;gene_biotype=lncRNA
1739463,NC_000007.14,Gnomon,gene,3202869,3203973,.,-,.,ID=gene-LOC124901575;Dbxref=GeneID:124901575;Name=LOC124901575;description=uncharacterized LOC124901575;gbkey=Gene;gene=LOC124901575;gene_biotype=lncRNA
1739467,NC_000007.14,Gnomon,gene,3243547,3352085,.,-,.,"ID=gene-SDK1-AS1;Dbxref=GeneID:105375132,HGNC:HGNC:40883;Name=SDK1-AS1;description=SDK1 antisense RNA 1;gbkey=Gene;gene=SDK1-AS1;gene_biotype=lncRNA"
1739492,NC_000007.14,BestRefSeq%2CGnomon,gene,3301252,4269000,.,+,.,"ID=gene-SDK1;Dbxref=GeneID:221935,HGNC:HGNC:19307,MIM:607216;Name=SDK1;description=sidekick cell adhesion molecule 1;gbkey=Gene;gene=SDK1;gene_biotype=protein_coding"
1739957,NC_000007.14,Gnomon,gene,3398787,3448730,.,+,.,ID=gene-LOC124901577;Dbxref=GeneID:124901577;Name=LOC124901577;description=uncharacterized LOC124901577;gbkey=Gene;gene=LOC124901577;gene_biotype=lncRNA
1739980,NC_000007.14,Gnomon,gene,3951935,3958287,.,+,.,ID=gene-LOC124901576;Dbxref=GeneID:124901576;Name=LOC124901576;description=uncharacterized LOC124901576;gbkey=Gene;gene=LOC124901576;gene_biotype=lncRNA
1740004,NC_000007.14,BestRefSeq,gene,4127612,4134837,.,-,.,ID=gene-LOC105375131;Dbxref=GeneID:105375131;Name=LOC105375131;description=uncharacterized LOC105375131;gbkey=Gene;gene=LOC105375131;gene_biotype=lncRNA
1740054,NC_000007.14,Gnomon,gene,4412907,4416516,.,-,.,ID=gene-LOC124901578;Dbxref=GeneID:124901578;Name=LOC124901578;description=uncharacterized LOC124901578;gbkey=Gene;gene=LOC124901578;gene_biotype=lncRNA
1740058,NC_000007.14,Gnomon,gene,4434478,4476442,.,+,.,ID=gene-LOC124901579;Dbxref=GeneID:124901579;Name=LOC124901579;description=uncharacterized LOC124901579;gbkey=Gene;gene=LOC124901579;gene_biotype=lncRNA
1740063,NC_000007.14,Gnomon,gene,4533744,4569716,.,+,.,ID=gene-LOC105375133;Dbxref=GeneID:105375133;Name=LOC105375133;description=uncharacterized LOC105375133;gbkey=Gene;gene=LOC105375133;gene_biotype=lncRNA
